permutation,n_selected
0,2801
1,2705
2,2702
3,2773
4,2848
5,2787
6,2724
7,2797
8,2764
9,2800
10,2661
11,2740
12,2881
13,2650
14,2890
15,2837
16,2862
17,2634
18,2797
19,2714
