feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
MUT__EGFR,94,44,0.94,0.05999999865889549,-0.11,0.16,True,0.181,unimodal,0.71,True
CNV__EGFR,93,43,0.93,0.03999999910593033,0.02,0.16,True,0.053,unimodal,0.71,True
TPM__WFS1,92,42,0.92,0.05000000074505806,0.26,0.07,False,0.013,worst_case,0.8985232835695006,True
TPM__MKNK1,91,41,0.91,0.03999999910593033,-0.16,0.0,False,0.002,worst_case,0.8985232835695006,True
TPM__ERRFI1,90,40,0.9,0.03999999910593033,0.25,0.13,False,0.0,worst_case,0.8985232835695006,True
