feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__SLC35F2,100,50,1.0,0.20000000298023224,-0.34,0.09,True,1.0,unimodal,0.71,True
TPM__ABCB1,100,50,1.0,0.1599999964237213,0.2,0.05,True,1.0,unimodal,0.71,True
TPM__ALDH3A1,99,49,0.99,0.05999999865889549,0.26,0.05,True,1.0,unimodal,0.71,True
TPM__ORAI2,91,41,0.91,0.03999999910593033,-0.2,0.08,False,0.002,worst_case,0.890124323979592,True
TPM__CISD3,90,40,0.9,0.03999999910593033,0.17,0.0,False,0.0,worst_case,0.890124323979592,True
