,feature,selection_count,pair_count,cpss_score
302,TPM__TFF3,10,5,1.0
219,TPM__VWA8,10,5,1.0
347,MUT__EGFR,10,5,1.0
114,TPM__SLC7A5,9,4,0.9
153,TPM__VAV3,9,4,0.9
482,TPM__NLGN1,8,4,0.8
116,TPM__DYNLT3,8,3,0.8
146,TPM__KLF9,8,3,0.8
440,METH__SLC1A5,8,3,0.8
11,TPM__STK32A,8,3,0.8
408,TPM__FAM167B,8,3,0.8
419,TPM__HSD17B8,8,3,0.8
178,TPM__VGF,7,2,0.7
337,TPM__ADGRF4,7,2,0.7
229,TPM__CNRIP1,7,2,0.7
18,TPM__FAM50A,7,2,0.7
432,METH__LHFPL2,7,2,0.7
14,METH__MIR205,7,3,0.7
105,METH__CHST14,7,2,0.7
373,TPM__MIR4458HG,7,2,0.7
77,TPM__DGKA,7,2,0.7
218,TPM__NID1,6,1,0.6
98,TPM__APBB1,6,1,0.6
167,TPM__UGT1A6,6,1,0.6
0,METH__CNN3,6,1,0.6
414,TPM__PLXND1,6,1,0.6
441,TPM__H2BP1,6,1,0.6
449,TPM__ARMCX2,6,2,0.6
93,TPM__CNIH3,5,1,0.5
172,TPM__SRGAP2B,5,0,0.5
445,TPM__ITGA10,5,1,0.5
72,METH__MLPH,5,0,0.5
264,TPM__PCDHB3,5,0,0.5
53,TPM__MAP1LC3A,5,0,0.5
253,TPM__NPR2,5,1,0.5
313,TPM__FARP1,5,0,0.5
416,TPM__ELMO2,5,0,0.5
57,TPM__DEF6,5,0,0.5
236,TPM__RPS6KA1,5,0,0.5
190,TPM__DIXDC1,5,1,0.5
224,METH__PLEKHO2,5,0,0.5
306,METH__PGAM5,5,0,0.5
88,METH__ALOX12,5,1,0.5
35,TPM__SOX15,5,0,0.5
121,TPM__MACF1,5,0,0.5
375,TPM__DGKI,5,0,0.5
484,TPM__ETV2,5,0,0.5
34,TPM__TNFAIP8,5,0,0.5
448,TPM__ANKRD33BP1,5,1,0.5
63,TPM__IGFBP5,5,0,0.5
319,TPM__FGD1,5,0,0.5
40,TPM__PRKD1,5,0,0.5
165,TPM__TMEM102,4,0,0.4
439,METH__TCHHL1,4,0,0.4
407,METH__G0S2,4,0,0.4
149,TPM__LMCD1,4,0,0.4
113,TPM__HOXB5,4,0,0.4
453,METH__IL17RC,4,1,0.4
104,TPM__HOXB2,4,1,0.4
101,METH__ADAT3,4,0,0.4
100,METH__SCAMP4,4,0,0.4
210,TPM__EPB41L3,4,0,0.4
140,TPM__LYN,4,0,0.4
447,TPM__DCLK1,4,0,0.4
386,TPM__FGFR1,4,0,0.4
226,TPM__SPIN3,4,0,0.4
318,TPM__SNHG26,4,0,0.4
391,METH__FGD4,4,0,0.4
369,TPM__CUL4B,4,0,0.4
365,TPM__ARB2A,4,0,0.4
360,METH__OSM,4,0,0.4
350,TPM__CREG1,4,0,0.4
393,TPM__OSBPL6,4,0,0.4
397,METH__TRIM29,4,0,0.4
332,METH__KRT5,4,0,0.4
328,METH__GPR81,4,0,0.4
299,TPM__CACNA1A,4,0,0.4
404,TPM__LINC02018,4,1,0.4
296,METH__FAM127C,4,0,0.4
278,TPM__TNFRSF19,4,0,0.4
275,TPM__FKBP7,4,0,0.4
271,TPM__TXNDC15,4,0,0.4
268,TPM__BOD1,4,0,0.4
258,TPM__LSAMP,4,0,0.4
255,TPM__INPP5F,4,0,0.4
377,TPM__LY6D,4,0,0.4
235,TPM__RHOV,4,0,0.4
1,TPM__TNS2,4,0,0.4
488,TPM__HOXB3,4,0,0.4
84,TPM__FAM83B,4,0,0.4
79,METH__C16orf74,4,0,0.4
28,METH__MACC1,4,1,0.4
22,TPM__ETV1,4,0,0.4
82,TPM__RNF14,4,0,0.4
221,METH__LMO3,3,0,0.3
429,TPM__DUOX1,3,0,0.3
66,TPM__MCOLN1,3,0,0.3
73,TPM__SPATA6,3,0,0.3
433,METH__SCG5,3,1,0.3
368,TPM__FYB1,3,0,0.3
438,TPM__LAMA4,3,0,0.3
330,TPM__IL4R,3,0,0.3
425,METH__PTK6,3,0,0.3
147,TPM__KRT16,3,0,0.3
331,TPM__GAS2L3,3,0,0.3
363,TPM__MAGED2,3,0,0.3
442,TPM__FGD5-AS1,3,0,0.3
443,TPM__MTFR1L,3,0,0.3
64,TPM__ARMCX1,3,0,0.3
136,TPM__PCBP4,3,0,0.3
55,TPM__CIART,3,0,0.3
29,TPM__CD99L2,3,0,0.3
422,METH__TNFRSF11B,3,0,0.3
161,TPM__EFHC1,3,0,0.3
26,TPM__GNA15,3,0,0.3
326,TPM__KIF3A,3,0,0.3
384,METH__TMEM40,3,0,0.3
183,TPM__CASP10,3,0,0.3
378,TPM__TRAK2,3,0,0.3
398,TPM__NAV3,3,0,0.3
177,METH__CBLN1,3,0,0.3
321,TPM__PLOD3,3,0,0.3
410,METH__TUBB2A,3,1,0.3
423,METH__VSTM2A,3,0,0.3
320,TPM__SORBS1,3,0,0.3
198,METH__PAQR7,3,0,0.3
376,METH__FUT9,3,0,0.3
200,TPM__TRIM3,3,0,0.3
204,METH__TPD52L2,3,0,0.3
327,TPM__ROBO1,3,0,0.3
44,TPM__ANXA8L1,3,0,0.3
452,TPM__MRAS,3,0,0.3
187,METH__RICS,3,0,0.3
132,TPM__PCDHB9,3,0,0.3
285,TPM__DIRAS1,3,0,0.3
231,METH__NKX6-2,3,0,0.3
468,TPM__TTC22,3,0,0.3
233,TPM__PROX1,3,0,0.3
111,TPM__GEM,3,0,0.3
282,TPM__ACAP1,3,0,0.3
234,METH__SH3BP1,3,0,0.3
297,TPM__PSMB10,3,0,0.3
286,TPM__GPRASP2,3,0,0.3
251,METH__LOC100127888,3,0,0.3
478,TPM__OLR1,3,0,0.3
239,TPM__CLIP3,3,0,0.3
241,TPM__TMEM108,3,0,0.3
295,TPM__TBX3,3,0,0.3
87,METH__COL17A1,3,0,0.3
56,TPM__PTMS,3,0,0.3
487,TPM__DIP2C,3,1,0.3
465,TPM__PIP5K1C,3,0,0.3
281,TPM__UNC13A,3,1,0.3
120,METH__DGKA,3,0,0.3
124,TPM__VKORC1,3,0,0.3
301,TPM__MOCS1,3,0,0.3
460,METH__MIR1265,3,0,0.3
461,TPM__ASPHD1,3,0,0.3
252,TPM__ZNF112,3,0,0.3
279,TPM__CFAP91,3,0,0.3
222,TPM__STK36,2,0,0.2
193,TPM__FAM219A,2,0,0.2
379,TPM__ARNT2-DT,2,0,0.2
242,TPM__NBPF9,2,0,0.2
344,TPM__GNS,2,0,0.2
61,TPM__NR2F1,2,0,0.2
188,TPM__DTNA,2,0,0.2
361,TPM__RHEB,2,0,0.2
343,TPM__PCDHGA1,2,0,0.2
323,TPM__MAGED1,2,0,0.2
