feature,Selection count,Pair count,CPSS Score,Worst Case Bound,Unimodal Bound
TPM__TTC22,3,0,0.3,False,False
METH__RICS,3,0,0.3,False,False
TPM__DIRAS1,3,0,0.3,False,False
TPM__PCDHB9,3,0,0.3,False,False
TPM__ROBO1,3,0,0.3,False,False
TPM__MRAS,3,0,0.3,False,False
TPM__ANXA8L1,3,0,0.3,False,False
METH__LOC100127888,3,0,0.3,False,False
TPM__GPRASP2,3,0,0.3,False,False
TPM__VKORC1,3,0,0.3,False,False
TPM__CLIP3,3,0,0.3,False,False
TPM__TMEM108,3,0,0.3,False,False
TPM__TBX3,3,0,0.3,False,False
METH__COL17A1,3,0,0.3,False,False
TPM__PTMS,3,0,0.3,False,False
TPM__DIP2C,3,1,0.3,False,False
TPM__PIP5K1C,3,0,0.3,False,False
TPM__UNC13A,3,1,0.3,False,False
METH__DGKA,3,0,0.3,False,False
TPM__MOCS1,3,0,0.3,False,False
METH__MIR1265,3,0,0.3,False,False
TPM__ASPHD1,3,0,0.3,False,False
TPM__ZNF112,3,0,0.3,False,False
TPM__CFAP91,3,0,0.3,False,False
TPM__TRIM3,3,0,0.3,False,False
METH__TPD52L2,3,0,0.3,False,False
TPM__OLR1,3,0,0.3,False,False
METH__FUT9,3,0,0.3,False,False
TPM__IL4R,3,0,0.3,False,False
TPM__ARMCX1,3,0,0.3,False,False
TPM__MTFR1L,3,0,0.3,False,False
TPM__FGD5-AS1,3,0,0.3,False,False
TPM__MAGED2,3,0,0.3,False,False
TPM__GAS2L3,3,0,0.3,False,False
METH__PTK6,3,0,0.3,False,False
TPM__LAMA4,3,0,0.3,False,False
METH__LMO3,3,0,0.3,False,False
TPM__FYB1,3,0,0.3,False,False
METH__SCG5,3,1,0.3,False,False
TPM__SPATA6,3,0,0.3,False,False
TPM__MCOLN1,3,0,0.3,False,False
TPM__DUOX1,3,0,0.3,False,False
METH__PAQR7,3,0,0.3,False,False
TPM__PCBP4,3,0,0.3,False,False
TPM__KRT16,3,0,0.3,False,False
TPM__CIART,3,0,0.3,False,False
TPM__TRAK2,3,0,0.3,False,False
TPM__SORBS1,3,0,0.3,False,False
TPM__CD99L2,3,0,0.3,False,False
METH__VSTM2A,3,0,0.3,False,False
METH__TUBB2A,3,1,0.3,False,False
TPM__PLOD3,3,0,0.3,False,False
TPM__NAV3,3,0,0.3,False,False
METH__CBLN1,3,0,0.3,False,False
TPM__CASP10,3,0,0.3,False,False
METH__TMEM40,3,0,0.3,False,False
TPM__KIF3A,3,0,0.3,False,False
TPM__GNA15,3,0,0.3,False,False
TPM__EFHC1,3,0,0.3,False,False
METH__TNFRSF11B,3,0,0.3,False,False
TPM__VAV1,2,0,0.2,False,False
METH__GNA15,2,0,0.2,False,False
TPM__FRMD3,2,0,0.2,False,False
METH__TRIB1,2,0,0.2,False,False
TPM__CNN3-DT,2,0,0.2,False,False
TPM__GPC6,2,0,0.2,False,False
METH__NRSN2,2,0,0.2,False,False
TPM__PEG10,2,0,0.2,False,False
METH__FAM155A,2,0,0.2,False,False
TPM__KRT14,2,0,0.2,False,False
METH__ANKRD44,2,0,0.2,False,False
TPM__HNRNPA1P33,2,0,0.2,False,False
TPM__DNER,2,0,0.2,False,False
TPM__SGCB,2,0,0.2,False,False
TPM__DOCK4,2,0,0.2,False,False
METH__ANKRD2,2,1,0.2,False,False
TPM__C5orf24,2,0,0.2,False,False
METH__CCDC13,2,0,0.2,False,False
TPM__TMSB15A,2,0,0.2,False,False
TPM__HCN2,2,0,0.2,False,False
TPM__DACT1,2,0,0.2,False,False
TPM__CADM1,2,0,0.2,False,False
TPM__GPAT4,2,1,0.2,False,False
TPM__TCTA,2,0,0.2,False,False
TPM__AP1S2,2,0,0.2,False,False
