,TPM__APLP2,TPM__BCL2L1,TPM__MOB3A,TPM__SLC38A5
TPM__APLP2,1.0,0.3371192655154773,-0.2139955008296434,-0.3017257509295837
TPM__BCL2L1,0.3371192655154773,1.0,-0.12134600561309934,-0.15934400683199257
TPM__MOB3A,-0.2139955008296434,-0.12134600561309934,1.0,0.24124990746068353
TPM__SLC38A5,-0.3017257509295837,-0.15934400683199257,0.24124990746068353,1.0
