,METH__C9orf150,METH__CCM2,METH__DSTN,METH__KLF4,METH__LAMB2,METH__PRIC285,METH__PTPN14,METH__TEAD4,METH__TMEM51,METH__ZNF697,TPM__ARHGAP15,TPM__IKZF1,TPM__MIR142HG,TPM__NCKAP1L,TPM__PDE1B,TPM__PIK3CG,TPM__PTPN7,TPM__RCSD1,TPM__SDC4,TPM__TJP1,TPM__TNFRSF12A
METH__C9orf150,1.0,-0.6647947950173588,0.7482525814832136,0.7446350408936753,0.7715965470599823,-0.5419579921306831,0.7406944632337312,0.7153891879773174,0.7616496658014792,0.7811044892362626,0.4789297574157172,0.5108886159893649,0.08775085186161728,0.43327987086143643,0.41158736240903937,0.08154044508505592,0.0853638891009744,0.08782928730341615,-0.5853570029014761,-0.6885699122277728,-0.5396914670895779
METH__CCM2,-0.6647947950173588,1.0,-0.6810455158289828,-0.6354760074991478,-0.764575199912903,0.801419119742236,-0.6565931604036639,-0.6154152020035639,-0.6352600500340643,-0.6628789102666477,-0.5368954873965152,-0.5616994215612031,-0.10565198489716596,-0.4889786584155552,-0.4429399368918039,-0.10338986133304356,-0.10898208041931776,-0.10811978792989203,0.6149357506606442,0.7968429714787126,0.639331282478964
METH__DSTN,0.7482525814832136,-0.6810455158289828,1.0,0.7879210949488278,0.8135539768702337,-0.5460887775669678,0.836461678424434,0.8277338104219952,0.836760183343276,0.7960456427136678,0.47476530829725005,0.5195507606704478,0.0967503423150517,0.43174888554077306,0.42644727742167043,0.08728638689160036,0.08895125341267211,0.08324319751023772,-0.6211151789453981,-0.7120081609003213,-0.5916037481321925
METH__KLF4,0.7446350408936753,-0.6354760074991478,0.7879210949488278,1.0,0.7306203940139538,-0.5258910816918664,0.7918592005765629,0.8303357496154198,0.8526918839062264,0.8494291852211605,0.44819286588776047,0.4939669721793076,0.09233354633915648,0.4088106388413363,0.3892651907955814,0.08878191343146853,0.08344028137867729,0.08865314180771627,-0.5668732393674172,-0.65429805924001,-0.5259341102257887
METH__LAMB2,0.7715965470599823,-0.764575199912903,0.8135539768702337,0.7306203940139538,1.0,-0.5853256847820313,0.7606320408177729,0.7678061062196231,0.7759340114417327,0.7549182038142489,0.5001562019426257,0.540701224279343,0.09994778706712819,0.4465834744195756,0.4341493004084181,0.09542347928748071,0.09885172916065545,0.09799143695922916,-0.5544952066885317,-0.7255965059974435,-0.5465843661896055
METH__PRIC285,-0.5419579921306831,0.801419119742236,-0.5460887775669678,-0.5258910816918664,-0.5853256847820313,1.0,-0.5610332695703387,-0.4516377706766027,-0.4929927863726251,-0.497391166837987,-0.46784461641843245,-0.4976678450354884,-0.09700194783803466,-0.431983012545676,-0.37570792122592994,-0.08794408687068203,-0.09597250425251493,-0.09061040865540189,0.6002181929367667,0.721429891443567,0.6714794398450677
METH__PTPN14,0.7406944632337312,-0.6565931604036639,0.836461678424434,0.7918592005765629,0.7606320408177729,-0.5610332695703387,1.0,0.806362637582864,0.8489514688669793,0.8178425178827367,0.4584644855224965,0.5115198311225121,0.0928154970581807,0.42023041684952905,0.4177431608619757,0.08590465569447783,0.08237990357277898,0.08759165804827193,-0.6402931487358312,-0.701314362966979,-0.648722127785616
METH__TEAD4,0.7153891879773174,-0.6154152020035639,0.8277338104219952,0.8303357496154198,0.7678061062196231,-0.4516377706766027,0.806362637582864,1.0,0.8547650352906794,0.839066825466085,0.4412604451989848,0.48315664170158434,0.08969437259805435,0.40507457042134604,0.4033618041570338,0.0845614513139108,0.08112394469610248,0.08263319776172248,-0.5322949203138501,-0.6285784497748937,-0.513434641696564
METH__TMEM51,0.7616496658014792,-0.6352600500340643,0.836760183343276,0.8526918839062264,0.7759340114417327,-0.4929927863726251,0.8489514688669793,0.8547650352906794,1.0,0.8595026492221176,0.44595364422409745,0.5014973335778489,0.0904647935340274,0.4088478141326493,0.4082774589589555,0.08260841965582368,0.0797693979935315,0.0800066072093763,-0.545698545198246,-0.6664622932730446,-0.5183313319743306
METH__ZNF697,0.7811044892362626,-0.6628789102666477,0.7960456427136678,0.8494291852211605,0.7549182038142489,-0.497391166837987,0.8178425178827367,0.839066825466085,0.8595026492221176,1.0,0.4617415233505026,0.5114618877762489,0.08750747226329952,0.4221089621401868,0.3949854981163184,0.0875526160684571,0.08330514417353845,0.09215803959862286,-0.5861997059065959,-0.6712330661438114,-0.5536366420868417
TPM__ARHGAP15,0.4789297574157172,-0.5368954873965152,0.47476530829725005,0.44819286588776047,0.5001562019426257,-0.46784461641843245,0.4584644855224965,0.4412604451989848,0.44595364422409745,0.4617415233505026,1.0,0.8754761596908229,0.10298780153308697,0.804738580328805,0.7490462438691454,0.08831673055360059,0.112962315924398,0.09163465735995692,-0.4229886608644598,-0.5300897023482215,-0.40706257357316133
TPM__IKZF1,0.5108886159893649,-0.5616994215612031,0.5195507606704478,0.4939669721793076,0.540701224279343,-0.4976678450354884,0.5115198311225121,0.48315664170158434,0.5014973335778489,0.5114618877762489,0.8754761596908229,1.0,0.11286461956549503,0.8242132463325379,0.7495982911185937,0.10330945935233617,0.11103860087733601,0.1048949167283619,-0.46006109061079586,-0.5440323532523256,-0.45211859128334575
TPM__MIR142HG,0.08775085186161728,-0.10565198489716596,0.0967503423150517,0.09233354633915648,0.09994778706712819,-0.09700194783803466,0.0928154970581807,0.08969437259805435,0.0904647935340274,0.08750747226329952,0.10298780153308697,0.11286461956549503,1.0,0.08932723356908326,0.07874114962594721,0.48710500090201614,0.12134409456676208,0.49115827469870443,-0.07108209873008008,-0.09615906443177628,-0.08195558356535868
TPM__NCKAP1L,0.43327987086143643,-0.4889786584155552,0.43174888554077306,0.4088106388413363,0.4465834744195756,-0.431983012545676,0.42023041684952905,0.40507457042134604,0.4088478141326493,0.4221089621401868,0.804738580328805,0.8242132463325379,0.08932723356908326,1.0,0.9062567834278337,0.09314442791985272,0.09867882793638162,0.08392513569883804,-0.4253369679234361,-0.5143287457154662,-0.4442857767736181
TPM__PDE1B,0.41158736240903937,-0.4429399368918039,0.42644727742167043,0.3892651907955814,0.4341493004084181,-0.37570792122592994,0.4177431608619757,0.4033618041570338,0.4082774589589555,0.3949854981163184,0.7490462438691454,0.7495982911185937,0.07874114962594721,0.9062567834278337,1.0,0.08361732065420568,0.09217600727703791,0.07496588725851681,-0.38763980359865857,-0.4707360840376838,-0.4170220649858665
TPM__PIK3CG,0.08154044508505592,-0.10338986133304356,0.08728638689160036,0.08878191343146853,0.09542347928748071,-0.08794408687068203,0.08590465569447783,0.0845614513139108,0.08260841965582368,0.0875526160684571,0.08831673055360059,0.10330945935233617,0.48710500090201614,0.09314442791985272,0.08361732065420568,1.0,0.10681143820320536,0.8123731292329822,-0.06570234859059591,-0.08584273600630066,-0.07741198426056149
TPM__PTPN7,0.0853638891009744,-0.10898208041931776,0.08895125341267211,0.08344028137867729,0.09885172916065545,-0.09597250425251493,0.08237990357277898,0.08112394469610248,0.0797693979935315,0.08330514417353845,0.112962315924398,0.11103860087733601,0.12134409456676208,0.09867882793638162,0.09217600727703791,0.10681143820320536,1.0,0.11709271379810282,-0.08052899419563928,-0.10221911941840243,-0.07431971155675851
TPM__RCSD1,0.08782928730341615,-0.10811978792989203,0.08324319751023772,0.08865314180771627,0.09799143695922916,-0.09061040865540189,0.08759165804827193,0.08263319776172248,0.0800066072093763,0.09215803959862286,0.09163465735995692,0.1048949167283619,0.49115827469870443,0.08392513569883804,0.07496588725851681,0.8123731292329822,0.11709271379810282,1.0,-0.06706416119460841,-0.08800322160099246,-0.07789735003253936
TPM__SDC4,-0.5853570029014761,0.6149357506606442,-0.6211151789453981,-0.5668732393674172,-0.5544952066885317,0.6002181929367667,-0.6402931487358312,-0.5322949203138501,-0.545698545198246,-0.5861997059065959,-0.4229886608644598,-0.46006109061079586,-0.07108209873008008,-0.4253369679234361,-0.38763980359865857,-0.06570234859059591,-0.08052899419563928,-0.06706416119460841,1.0,0.7197349130253938,0.8060183659188956
TPM__TJP1,-0.6885699122277728,0.7968429714787126,-0.7120081609003213,-0.65429805924001,-0.7255965059974435,0.721429891443567,-0.701314362966979,-0.6285784497748937,-0.6664622932730446,-0.6712330661438114,-0.5300897023482215,-0.5440323532523256,-0.09615906443177628,-0.5143287457154662,-0.4707360840376838,-0.08584273600630066,-0.10221911941840243,-0.08800322160099246,0.7197349130253938,1.0,0.7331743047476479
TPM__TNFRSF12A,-0.5396914670895779,0.639331282478964,-0.5916037481321925,-0.5259341102257887,-0.5465843661896055,0.6714794398450677,-0.648722127785616,-0.513434641696564,-0.5183313319743306,-0.5536366420868417,-0.40706257357316133,-0.45211859128334575,-0.08195558356535868,-0.4442857767736181,-0.4170220649858665,-0.07741198426056149,-0.07431971155675851,-0.07789735003253936,0.8060183659188956,0.7331743047476479,1.0
