permutation,n_selected
0,2913
1,2820
2,2849
3,2869
4,2874
5,2832
6,2822
7,2894
8,2853
9,2797
10,2888
11,2839
12,2760
13,2888
14,2976
15,2935
16,2959
17,2832
18,2940
19,2881
