group_id,size,representative,members,avg_intragroup_corr,min_intragroup_corr,max_intragroup_corr
2,8,METH__TMEM51,"METH__C9orf150, METH__DSTN, METH__KLF4, METH__LAMB2, METH__PTPN14, METH__TEAD4, METH__TMEM51, METH__ZNF697",0.7965184382980807,0.7153891879773174,0.8595026492221176
1,4,TPM__NCKAP1L,"TPM__ARHGAP15, TPM__IKZF1, TPM__NCKAP1L, TPM__PDE1B",0.8182215507946231,0.7490462438691454,0.9062567834278337
4,3,METH__CCM2,"METH__CCM2, METH__PRIC285, TPM__TJP1",0.7732306608881719,0.721429891443567,0.801419119742236
5,2,TPM__PIK3CG,"TPM__PIK3CG, TPM__RCSD1",0.8123731292329822,0.8123731292329822,0.8123731292329822
3,2,TPM__SDC4,"TPM__SDC4, TPM__TNFRSF12A",0.8060183659188956,0.8060183659188956,0.8060183659188956
6,1,TPM__MIR142HG,TPM__MIR142HG,,,
7,1,TPM__PTPN7,TPM__PTPN7,,,
